"Região/Unidade da Federação;""1992"";""1993"";""1994"";""1995"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"";""2019"""
Região Norte;10587388;10629745;10899576;11158998;11604158;11868725;12133705;12399633;13245084;13504599;13784881;14373260;14698878;15022060;14648122;15142684;15385707;15865678;16095187;16347807;17013559;17261983;17504446;17740418;17936201;18182253;18430980
.. Rondônia;1190739;1241693;1291214;1339507;1255522;1276173;1296856;1317614;1407886;1431777;1455907;1562085;1534594;1562417;1453756;1493566;1503928;1560501;1576455;1590011;1728214;1748531;1768204;1787279;1805788;1757589;1777225
.. Acre;428006;437495;446480;455242;500185;514050;527937;541873;574355;586942;600595;630328;669736;686652;655385;680073;691132;732793;746386;758786;776463;790101;803513;816687;829619;869265;881935
.. Amazonas;2165852;2217600;2269555;2320221;2460602;2520684;2580860;2641251;2900240;2961801;3031068;3138726;3232330;3311026;3221940;3341096;3393369;3480937;3538387;3590985;3807921;3873743;3938336;4001667;4063614;4080611;4144597
.. Roraima;228749;241099;251783;262201;254499;260705;266922;273160;337237;346871;357302;381896;391317;403344;395725;412783;421499;451227;460165;469524;488072;496936;505665;514229;522636;576568;605761
.. Pará;5328133;5212812;5332187;5448598;5650681;5768476;5886454;6004854;6341736;6453683;6574993;6850181;6970586;7110465;7090378;7321493;7457119;7588078;7688593;7822205;7999729;8104880;8206923;8305359;8366628;8513497;8602865
.. Amapá;299305;308787;317597;326188;401916;420834;439781;458796;498735;516511;534835;547400;594587;615715;587311;613164;626609;668689;684309;698602;734996;750912;766679;782295;797722;829494;845731
.. Tocantins;946604;970259;990760;1007041;1080753;1107803;1134895;1162085;1184895;1207014;1230181;1262644;1305728;1332441;1243627;1280509;1292051;1383453;1400892;1417694;1478164;1496880;1515126;1532902;1550194;1555229;1572866
Região Nordeste;42976980;43803118;44396274;44974707;45334385;45811342;46289042;46768451;48331186;48845112;49352225;50427274;51019091;51609027;51535782;53088499;53591197;53078137;53501859;53907144;55794707;56186190;56560081;56915936;57254159;56760780;57071654
.. Maranhão;4990749;5088898;5160974;5231261;5295452;5356853;5418349;5480066;5730467;5803224;5873655;6021504;6103327;6184538;6118995;6305539;6367138;6569683;6645761;6714314;6794301;6850884;6904241;6954036;7000229;7035055;7075181
.. Piauí;2610476;2657415;2691615;2724967;2695876;2714999;2734152;2753373;2873010;2898223;2923725;2977259;3006885;3036290;3032435;3119697;3145325;3119015;3140328;3160748;3184166;3194718;3204028;3212180;3219257;3264531;3273227
.. Ceará;6433713;6549847;6633080;6714246;6920292;7013376;7106605;7200167;7547620;7654535;7758441;7976563;8097276;8217085;8185250;8450527;8547809;8448055;8530155;8606005;8778576;8842791;8904459;8963663;9020460;9075649;9132078
.. Rio Grande do Norte;2448267;2503463;2543397;2582339;2594340;2624397;2654501;2684712;2815244;2852784;2888058;2962107;3003087;3043760;3013740;3106430;3137541;3168133;3198657;3228198;3373959;3408510;3442175;3474998;3507003;3479010;3506853
.. Paraíba;3229163;3274323;3307583;3340018;3331673;3353624;3375609;3397673;3468594;3494893;3518595;3568350;3595886;3623215;3641397;3742606;3769977;3766834;3791315;3815171;3914421;3943885;3972202;3999415;4025558;3996496;4018127
.. Pernambuco;7187355;7295118;7371110;7445216;7466773;7523755;7580826;7638101;8008207;8084667;8161862;8323911;8413593;8502603;8486638;8734194;8810256;8796032;8864906;8931028;9208550;9277727;9345173;9410336;9473266;9496294;9557071
.. Alagoas;2548092;2604394;2645417;2685421;2663071;2688117;2713203;2738378;2856629;2887535;2917664;2980910;3015912;3050652;3037231;3127557;3156108;3120922;3143384;3165472;3300935;3321730;3340932;3358963;3375823;3322820;3337357
.. Sergipe;1515142;1551633;1578782;1605257;1657164;1684953;1712786;1740719;1817301;1846039;1874613;1934596;1967791;2000738;1939426;1999374;2019679;2068031;2089819;2110867;2195662;2219574;2242937;2265779;2288116;2278308;2298696
.. Bahia;12014023;12278027;12464316;12645982;12709744;12851268;12993011;13135262;13214114;13323212;13435612;13682074;13815334;13950146;14080670;14502575;14637364;14021432;14097534;14175341;15044137;15126371;15203934;15276566;15344447;14812617;14873064
Região Sudeste;63634449;64610175;65459659;66288059;68065957;68961343;69858115;70758097;73470763;74447456;75391969;77374720;78472017;79561095;77873342;80187717;80915332;80353724;80975616;81565983;84465570;85115623;85745520;86356952;86949714;87711946;88371433
.. Minas Gerais;15941939;16144856;16327360;16505334;16904977;17100314;17295955;17492296;18127096;18343517;18553312;18993720;19237450;19479356;19273533;19850072;20033665;19595309;19728701;19855332;20593356;20734097;20869101;20997560;21119536;21040662;21168791
.. Espírito Santo;2649747;2698687;2743243;2786692;2853098;2895547;2938062;2980729;3155016;3201722;3250219;3352024;3408365;3464285;3351669;3453648;3487199;3512672;3547055;3578067;3839366;3885049;3929911;3973697;4016356;3972388;4018650
.. Rio de Janeiro;12916705;13065279;13182301;13296419;13555657;13681410;13807358;13933756;14558545;14724475;14879118;15203750;15383407;15561720;15420450;15872362;16010429;15993583;16112678;16231365;16369179;16461173;16550024;16635996;16718956;17159960;17264943
.. São Paulo;32126058;32701353;33206755;33699614;34752225;35284072;35816740;36351316;37630106;38177742;38709320;39825226;40442795;41055734;39827690;41011635;41384039;41252160;41587182;41901219;43663669;44035304;44396484;44749699;45094866;45538936;45919049
Região Sul;22374746;22655709;22894835;23128026;23862664;24154080;24445950;24738865;25453264;25734253;26025091;26635629;26973511;27308863;26733877;27497970;27719118;27384815;27562433;27731644;28795762;29016114;29230180;29439773;29644948;29754036;29975984
.. Paraná;8511279;8587901;8651138;8712805;9142215;9258813;9375592;9492790;9694709;9798006;9906866;10135388;10261856;10387378;10284503;10590169;10686247;10439601;10512349;10577755;10997465;11081692;11163018;11242720;11320892;11348937;11433957
.. Santa Catarina;4614268;4697277;4767826;4836624;4958339;5028339;5098448;5168808;5448736;5527707;5607233;5774178;5866568;5958266;5866487;6052587;6118743;6249682;6317054;6383286;6634254;6727148;6819190;6910553;7001161;7075494;7164788
.. Rio Grande do Sul;9249199;9370531;9475871;9578597;9762110;9866928;9971910;10077267;10309819;10408540;10510992;10726063;10845087;10963219;10582887;10855214;10914128;10695532;10733030;10770603;11164043;11207274;11247972;11286500;11322895;11329605;11377239
Região Centro-Oeste;9663421;9872980;10075326;10272650;10769249;10994821;11220742;11447472;11885529;12101540;12317271;12770141;13020767;13269517;13223393;13695944;13895375;14050340;14244192;14423952;14993191;15219608;15442232;15660988;15875907;16085885;16297074
.. Mato Grosso do Sul;1818175;1850162;1881868;1912788;1964603;1995578;2026600;2057734;2111036;2140624;2169688;2230702;2264468;2297981;2265813;2336058;2360498;2449341;2477542;2505088;2587269;2619657;2651235;2682386;2713147;2748023;2778986
.. Mato Grosso;2107698;2178178;2246757;2313634;2287846;2331663;2375549;2419591;2560584;2604742;2651335;2749145;2803274;2856999;2854642;2957732;3001692;3033991;3075936;3115336;3182113;3224357;3265486;3305531;3344544;3441998;3484466
.. Goiás;4098513;4171489;4240812;4308415;4639785;4744174;4848725;4953650;5116462;5210335;5306459;5508245;5619917;5730753;5647035;5844996;5926300;6004045;6080716;6154996;6434048;6523222;6610681;6695855;6778772;6921161;7018354
.. Distrito Federal;1639035;1673151;1705889;1737813;1877015;1923406;1969868;2016497;2097447;2145839;2189789;2282049;2333108;2383784;2455903;2557158;2606885;2562963;2609998;2648532;2789761;2852372;2914830;2977216;3039444;2974703;3015268
